;cvm;codigo;cvm2;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close
217;11398;CRPG6;11398;2016;644.348;1.738;82.537;5.413;;0;50.443;22.555;182;47.856;;
218;1155;BEES3;1155;2010;9.698.663;3.113.487;475.385;308.454;74.726;47;;;;208.175;6,89;6,10
219;1155;BEES3;1155;2011;10.317.381;3.577.085;561.255;273.992;83.260;2.396;;;;103.002;6,03;7,55
220;1155;BEES3;1155;2012;12.611.522;181.340;719.751;262.957;429.671;0;;;;102.348;8,19;0,54
221;1155;BEES3;1155;2013;14.274.712;1.119.132;1.151.929;354.301;714.239;;;;;153.285;0,54;0,50
222;1155;BEES3;1155;2014;15.289.994;168.570;799.548;295.912;1.281.298;;;;;192.501;0,49;0,40
223;1155;BEES3;1155;2015;18.394.514;253.849;667.201;382.751;1.179.437;;;;;175.512;0,39;1,80
224;1155;BEES3;1155;2016;25.763.824;212.826;610.991;246.573;1.470.154;;;;;219.947;1,75;2,63
225;1155;BEES3;1155;2017;22.859.145;150.179;1.140.647;235.194;3.029.964;;;;;258.572;2,65;3,61
226;1155;BEES3;1155;2018;27.975.320;182.215;1.940.014;0;;418.059;;;;230.956;3,67;4,13
227;1155;BEES4;1155;2010;9.698.663;3.113.487;475.385;308.454;74.726;47;;;;208.175;6,95;6,10
228;1155;BEES4;1155;2011;10.317.381;3.577.085;561.255;273.992;83.260;2.396;;;;103.002;6,10;6,10
229;1155;BEES4;1155;2012;12.611.522;181.340;719.751;262.957;429.671;0;;;;102.348;6,50;0,49
230;1155;BEES4;1155;2013;14.274.712;1.119.132;1.151.929;354.301;714.239;;;;;153.285;0,49;0,46
231;1155;BEES4;1155;2014;15.289.994;168.570;799.548;295.912;1.281.298;;;;;192.501;;
232;1155;BEES4;1155;2015;18.394.514;253.849;667.201;382.751;1.179.437;;;;;175.512;0,40;1,75
233;1155;BEES4;1155;2016;25.763.824;212.826;610.991;246.573;1.470.154;;;;;219.947;1,78;2,66
234;1155;BEES4;1155;2017;22.859.145;150.179;1.140.647;235.194;3.029.964;;;;;258.572;2,65;3,84
235;1155;BEES4;1155;2018;27.975.320;182.215;1.940.014;0;;418.059;;;;230.956;3,82;4,25
236;11592;UNIP3;11592;2010;1.009.445;24.914;570.870;0;;143;149.993;6.495;421.936;42.431;2,24;0,70
237;11592;UNIP3;11592;2011;889.822;8.638;405.089;0;;1.602;205.307;8.446;242.666;16.793;0,69;0,43
238;11592;UNIP3;11592;2012;769.573;7.273;261.848;;;200;133.906;10.718;140.789;59.173;0,44;0,46
239;11592;UNIP3;11592;2016;3.494.699;383.346;96.612;;;22.611;327.197;274.473;274.688;568.366;;
240;11592;UNIP3;11592;2017;3.466.377;78.559;323.243;;;0;437.279;212.142;403.089;430.697;;
241;11592;UNIP3;11592;2018;4.042.630;201.542;659.939;;;;477.918;193.972;549.928;830.642;16,89;37,50
242;11592;UNIP5;11592;2010;1.009.445;24.914;570.870;0;;143;149.993;6.495;421.936;42.431;2,84;1,70
243;11592;UNIP5;11592;2011;889.822;8.638;405.089;0;;1.602;205.307;8.446;242.666;16.793;1,70;0,65
244;11592;UNIP5;11592;2012;769.573;7.273;261.848;;;200;133.906;10.718;140.789;59.173;0,65;0,52
245;11592;UNIP5;11592;2016;3.494.699;383.346;96.612;;;22.611;327.197;274.473;274.688;568.366;5,39;8,00
246;11592;UNIP5;11592;2017;3.466.377;78.559;323.243;;;0;437.279;212.142;403.089;430.697;;
247;11592;UNIP5;11592;2018;4.042.630;201.542;659.939;;;;477.918;193.972;549.928;830.642;16,64;37,45
